,date,total_cases,new_cases,weekly_new_cases_average,new_cases_yesterday,new_deaths,weeky_new_deaths_average,new_deaths_yesterday,new_tests,weekly_new_tests_average,new_tests_yesterday,positive_rate,total_vaccinations,total_vaccinations_yesterday,people_vaccinated,people_vaccinated_yesterday,people_fully_vaccinated,people_fully_vaccinated_yesterday,stringency_index,driving,transit,walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2021-02-17,2021-02-17,27896924.0,70118.0,81375.0,62719.0,2405.0,2216.0,1748.0,1470167.0,1176347.0,1244770.0,0.066,56281827.0,55220364.0,40268009.0,39670551.0,15471536.0,15015434.0,68.06,95.97,50.21,91.63,-27.0,-11.0,-27.0,-42.0,-39.0,13.0
2021-02-18,2021-02-18,27966848.0,69924.0,77795.0,70118.0,2519.0,2087.0,2405.0,1405886.0,1153708.0,1470167.0,0.062,57737767.0,56281827.0,41021049.0,40268009.0,16162358.0,15471536.0,68.06,91.77,45.7,86.66,-33.0,-19.0,-32.0,-46.0,-42.0,17.0
2021-02-19,2021-02-19,28046145.0,79297.0,72675.0,69924.0,2631.0,1988.0,2519.0,1344200.0,1152854.0,1405886.0,0.06,59585043.0,57737767.0,41977401.0,41021049.0,17039118.0,16162358.0,68.06,116.35,53.32,112.71,-26.0,-15.0,-32.0,-42.0,-35.0,14.0
2021-02-20,2021-02-20,28117670.0,71525.0,69770.0,79297.0,1818.0,1946.0,2631.0,1054422.0,1144021.0,1344200.0,0.057,61289500.0,59585043.0,42809595.0,41977401.0,17895667.0,17039118.0,68.06,122.13,54.18,129.86,-19.0,-8.0,-10.0,-31.0,-10.0,6.0
2021-02-21,2021-02-21,28174750.0,57080.0,67541.0,71525.0,1247.0,1891.0,1818.0,681723.0,1139671.0,1054422.0,0.056,63090634.0,61289500.0,43628092.0,42809595.0,18865319.0,17895667.0,68.06,95.52,46.15,93.56,-19.0,-11.0,-12.0,-32.0,-13.0,5.0
2021-02-22,2021-02-22,28230970.0,56220.0,66407.0,57080.0,1323.0,1904.0,1247.0,1028623.0,1142411.0,681723.0,0.054,64177474.0,63090634.0,44138118.0,43628092.0,19438495.0,18865319.0,68.06,102.91,49.31,93.78,-22.0,-13.0,-22.0,-39.0,-31.0,11.0
2021-02-23,2021-02-23,28303233.0,72263.0,66698.0,56220.0,2274.0,1956.0,1323.0,1628978.0,1175684.0,1028623.0,0.053,65032083.0,64177474.0,44544969.0,44138118.0,19882544.0,19438495.0,68.06,108.89,51.59,100.94,-18.0,-8.0,-8.0,-36.0,-31.0,10.0
2021-02-24,2021-02-24,28377965.0,74732.0,68061.0,72263.0,3178.0,2031.0,2274.0,1672232.0,1230571.0,1628978.0,0.053,66464947.0,65032083.0,45237143.0,44544969.0,20607261.0,19882544.0,68.06,112.57,53.65,105.6,-15.0,-8.0,-4.0,-35.0,-30.0,10.0
2021-02-25,2021-02-25,28455466.0,77501.0,68720.0,74732.0,2446.0,2141.0,3178.0,1593431.0,1259438.0,1672232.0,0.052,68274117.0,66464947.0,46074392.0,45237143.0,21555117.0,20607261.0,68.06,115.88,53.6,108.02,-17.0,-9.0,-10.0,-35.0,-30.0,10.0
2021-02-26,2021-02-26,28532812.0,77346.0,69803.0,77501.0,2068.0,2131.0,2446.0,1456442.0,1286230.0,1593431.0,0.052,70454064.0,68274117.0,47184199.0,46074392.0,22613359.0,21555117.0,68.06,135.74,58.86,132.05,-18.0,-11.0,-16.0,-34.0,-29.0,10.0
2021-02-27,2021-02-27,28597387.0,64575.0,69524.0,77346.0,1515.0,2051.0,2068.0,1065904.0,1302264.0,1456442.0,0.052,72806180.0,70454064.0,48435536.0,47184199.0,23698627.0,22613359.0,68.06,134.52,56.62,145.44,-15.0,-6.0,-1.0,-28.0,-10.0,5.0
2021-02-28,2021-02-28,28648744.0,51357.0,68531.0,64575.0,1094.0,2007.0,1515.0,625484.0,1303905.0,1065904.0,0.051,75236003.0,72806180.0,49772180.0,48435536.0,24779920.0,23698627.0,68.06,101.84,46.94,99.03,-16.0,-10.0,-9.0,-29.0,-13.0,4.0
2021-03-01,2021-03-01,28706973.0,58229.0,67713.0,51357.0,1519.0,1985.0,1094.0,977639.0,1295871.0,625484.0,0.051,76899987.0,75236003.0,50732997.0,49772180.0,25466405.0,24779920.0,68.06,107.73,52.3,100.43,-17.0,-9.0,-18.0,-36.0,-30.0,9.0
2021-03-02,2021-03-02,28764033.0,57060.0,68000.0,58229.0,1950.0,2013.0,1519.0,1592858.0,1288587.0,977639.0,0.05,78631601.0,76899987.0,51755447.0,50732997.0,26162122.0,25466405.0,68.06,110.9,52.34,101.67,-16.0,-7.0,-12.0,-36.0,-30.0,10.0
2021-03-03,2021-03-03,28831226.0,67193.0,65829.0,57060.0,2491.0,1967.0,1950.0,1713294.0,1283427.0,1592858.0,0.048,80540474.0,78631601.0,52855579.0,51755447.0,26957804.0,26162122.0,68.06,114.73,54.33,107.38,-12.0,-4.0,-1.0,-34.0,-30.0,9.0
2021-03-04,2021-03-04,28899277.0,68051.0,64752.0,67193.0,1938.0,1869.0,2491.0,1530461.0,1289293.0,1713294.0,0.048,82572848.0,80540474.0,54035670.0,52855579.0,27795980.0,26957804.0,64.35,119.48,54.39,110.63,-15.0,-6.0,-4.0,-34.0,-30.0,9.0
2021-03-05,2021-03-05,28965728.0,66451.0,63402.0,68051.0,1785.0,1796.0,1938.0,1413051.0,1280297.0,1530461.0,0.047,85008094.0,82572848.0,55547697.0,54035670.0,28701201.0,27795980.0,64.35,140.95,60.55,136.69,-16.0,-8.0,-10.0,-33.0,-29.0,9.0
2021-03-06,2021-03-06,29023931.0,58203.0,61845.0,66451.0,1506.0,1756.0,1785.0,1057557.0,1274099.0,1413051.0,0.046,87912323.0,85008094.0,57358849.0,55547697.0,29776160.0,28701201.0,64.35,140.19,59.55,151.45,-13.0,-4.0,7.0,-26.0,-11.0,4.0
2021-03-07,2021-03-07,29064938.0,41007.0,60935.0,58203.0,698.0,1755.0,1506.0,603501.0,1272906.0,1057557.0,0.045,90351750.0,87912323.0,58873710.0,57358849.0,30686881.0,29776160.0,64.35,107.73,49.88,107.34,-12.0,-6.0,9.0,-26.0,-13.0,3.0
2021-03-08,2021-03-08,29109974.0,45036.0,59456.0,41007.0,740.0,1698.0,698.0,963540.0,1269766.0,603501.0,0.044,92089852.0,90351750.0,60005231.0,58873710.0,31493040.0,30686881.0,64.35,112.11,53.92,105.35,-16.0,-7.0,-1.0,-35.0,-31.0,9.0
2021-03-09,2021-03-09,29167616.0,57642.0,57572.0,45036.0,1807.0,1587.0,740.0,1523749.0,1267752.0,963540.0,0.045,93692598.0,92089852.0,61088527.0,60005231.0,32102061.0,31493040.0,64.35,115.39,55.75,109.71,-14.0,-5.0,9.0,-34.0,-31.0,9.0
2021-03-10,2021-03-10,29225536.0,57920.0,57655.0,57642.0,1571.0,1566.0,1807.0,1589512.0,1257879.0,1523749.0,0.044,95721290.0,93692598.0,62451150.0,61088527.0,32904161.0,32102061.0,64.35,117.46,55.1,110.39,-13.0,-6.0,2.0,-34.0,-30.0,9.0
2021-03-11,2021-03-11,29288010.0,62474.0,56330.0,57920.0,1567.0,1435.0,1571.0,1480664.0,1240196.0,1589512.0,0.044,98203893.0,95721290.0,64071674.0,62451150.0,33863127.0,32904161.0,64.35,123.82,58.09,118.39,-14.0,-5.0,7.0,-32.0,-30.0,9.0
2021-03-12,2021-03-12,29349533.0,61523.0,55533.0,62474.0,1570.0,1382.0,1567.0,1384816.0,1233082.0,1480664.0,0.044,101128005.0,98203893.0,65965305.0,64071674.0,35000159.0,33863127.0,64.35,123.82,58.09,118.39,-14.0,-7.0,2.0,-30.0,-30.0,9.0
2021-03-13,2021-03-13,29402465.0,52932.0,54829.0,61523.0,996.0,1351.0,1570.0,1017438.0,1229048.0,1384816.0,0.043,105703501.0,101128005.0,68884011.0,65965305.0,36929777.0,35000159.0,64.35,144.76,63.02,162.62,-10.0,-2.0,16.0,-21.0,-11.0,3.0
2021-03-14,2021-03-14,29440686.0,38221.0,54076.0,52932.0,580.0,1278.0,996.0,575733.0,1223317.0,1017438.0,0.043,107060274.0,105703501.0,69784210.0,68884011.0,37459269.0,36929777.0,64.35,110.41,51.1,110.85,-11.0,-7.0,1.0,-24.0,-15.0,4.0
2021-03-15,2021-03-15,29497352.0,56666.0,53678.0,38221.0,756.0,1262.0,580.0,933331.0,1219350.0,575733.0,0.044,109081860.0,107060274.0,71054445.0,69784210.0,38335432.0,37459269.0,64.35,117.02,54.79,109.75,-14.0,-7.0,-11.0,-34.0,-33.0,10.0
2021-03-16,2021-03-16,29551309.0,53957.0,55340.0,56666.0,1177.0,1264.0,756.0,1478344.0,1215035.0,933331.0,0.044,110737856.0,109081860.0,72135616.0,71054445.0,39042345.0,38335432.0,64.35,121.29,55.82,113.88,-11.0,-3.0,-2.0,-32.0,-32.0,9.0
2021-03-17,2021-03-17,29610445.0,59136.0,54813.0,53957.0,1232.0,1174.0,1177.0,1597362.0,1208548.0,1478344.0,0.044,113037627.0,110737856.0,73669956.0,72135616.0,39989196.0,39042345.0,64.35,127.47,58.29,124.47,-4.0,-2.0,0.0,-30.0,-31.0,8.0
2021-03-18,2021-03-18,29670983.0,60538.0,54987.0,59136.0,1664.0,1125.0,1232.0,1454746.0,1209670.0,1597362.0,0.044,115730008.0,113037627.0,75495716.0,73669956.0,40981464.0,39989196.0,64.35,130.52,56.74,122.06,-10.0,-5.0,-9.0,-31.0,-32.0,10.0
2021-03-19,2021-03-19,29732612.0,61629.0,54710.0,60538.0,1147.0,1139.0,1664.0,1325598.0,1205967.0,1454746.0,0.044,118313818.0,115730008.0,77230061.0,75495716.0,41934629.0,40981464.0,64.35,155.04,65.96,154.97,-10.0,-6.0,0.0,-28.0,-31.0,8.0
2021-03-20,2021-03-20,29787986.0,55374.0,54726.0,61629.0,742.0,1079.0,1147.0,978090.0,1197507.0,1325598.0,0.045,121441497.0,118313818.0,79367225.0,77230061.0,43036818.0,41934629.0,64.35,156.14,67.7,177.25,-6.0,-2.0,25.0,-16.0,-10.0,2.0
2021-03-21,2021-03-21,29821754.0,33768.0,55074.0,55374.0,439.0,1043.0,742.0,605748.0,1191886.0,978090.0,0.045,124481412.0,121441497.0,81415769.0,79367225.0,44141228.0,43036818.0,64.35,120.05,56.53,124.48,-4.0,-3.0,28.0,-16.0,-12.0,2.0
2021-03-22,2021-03-22,29873347.0,51593.0,54438.0,33768.0,719.0,1022.0,439.0,956080.0,1196174.0,605748.0,0.046,126509736.0,124481412.0,82772416.0,81415769.0,44910946.0,44141228.0,66.2,121.62,59.7,117.75,-9.0,-5.0,11.0,-30.0,-30.0,8.0
2021-03-23,2021-03-23,29926950.0,53603.0,53714.0,51593.0,876.0,1017.0,719.0,1505933.0,1199424.0,956080.0,0.047,128217029.0,126509736.0,83930495.0,82772416.0,45533962.0,44910946.0,61.57,123.61,59.5,118.1,-9.0,-4.0,9.0,-31.0,-30.0,8.0
2021-03-24,2021-03-24,30013910.0,86960.0,53663.0,53603.0,1512.0,974.0,876.0,1632492.0,1203365.0,1505933.0,0.047,130473853.0,128217029.0,85472166.0,83930495.0,46365515.0,45533962.0,61.57,126.62,58.27,118.47,-9.0,-5.0,1.0,-31.0,-30.0,9.0
2021-03-25,2021-03-25,30081375.0,67465.0,57638.0,86960.0,1410.0,1014.0,1512.0,1428054.0,1208384.0,1632492.0,0.049,133305295.0,130473853.0,87343622.0,85472166.0,47419832.0,46365515.0,61.57,130.98,61.42,125.53,-10.0,-4.0,4.0,-30.0,-30.0,9.0
2021-03-26,2021-03-26,30158696.0,77321.0,58627.0,67465.0,1151.0,978.0,1410.0,1354899.0,1204571.0,1428054.0,0.05,136684688.0,133305295.0,89559225.0,87343622.0,48695172.0,47419832.0,61.57,157.47,70.16,159.64,-10.0,-6.0,9.0,-27.0,-30.0,8.0
2021-03-27,2021-03-27,30221396.0,62700.0,60869.0,77321.0,787.0,978.0,1151.0,986685.0,1208757.0,1354899.0,0.05,140180735.0,136684688.0,91707729.0,89559225.0,50141769.0,48695172.0,61.57,156.88,71.24,179.9,-8.0,-2.0,35.0,-16.0,-10.0,2.0
2021-03-28,2021-03-28,30264493.0,43097.0,61916.0,62700.0,522.0,985.0,787.0,617627.0,1209984.0,986685.0,0.051,143462691.0,140180735.0,93631163.0,91707729.0,51593564.0,50141769.0,61.57,116.84,52.98,118.45,-8.0,-5.0,3.0,-21.0,-14.0,3.0
2021-03-29,2021-03-29,30333922.0,69429.0,63248.0,43097.0,709.0,997.0,522.0,986306.0,1211681.0,617627.0,0.051,145812835.0,143462691.0,95015762.0,93631163.0,52614231.0,51593564.0,58.8,125.74,61.85,124.37,-8.0,-3.0,14.0,-30.0,-31.0,8.0
2021-03-30,2021-03-30,30395171.0,61249.0,65796.0,69429.0,882.0,995.0,709.0,1509215.0,1215999.0,986306.0,0.052,147602345.0,145812835.0,96044046.0,95015762.0,53423486.0,52614231.0,56.94,129.74,64.05,128.62,-7.0,-1.0,23.0,-29.0,-31.0,8.0
2021-03-31,2021-03-31,30462210.0,67039.0,66889.0,61249.0,1088.0,996.0,882.0,1556326.0,1216468.0,1509215.0,0.053,150273292.0,147602345.0,97593290.0,96044046.0,54607041.0,53423486.0,56.94,131.73,62.06,126.38,-6.0,-2.0,4.0,-29.0,-31.0,8.0
2021-04-01,2021-04-01,30541255.0,79045.0,64043.0,67039.0,1075.0,936.0,1088.0,1416591.0,1205587.0,1556326.0,0.054,153631404.0,150273292.0,99565311.0,97593290.0,56089614.0,54607041.0,56.94,141.05,64.44,135.87,-4.0,3.0,9.0,-27.0,-31.0,8.0
2021-04-02,2021-04-02,30611086.0,69831.0,65697.0,79045.0,950.0,888.0,1075.0,1312051.0,1203950.0,1416591.0,0.053,157606463.0,153631404.0,101804762.0,99565311.0,57984785.0,56089614.0,56.94,159.17,70.02,162.1,-6.0,3.0,11.0,-27.0,-40.0,10.0
2021-04-03,2021-04-03,30674153.0,63067.0,64627.0,69831.0,734.0,859.0,950.0,949486.0,1197829.0,1312051.0,0.054,161688422.0,157606463.0,104213478.0,101804762.0,59858146.0,57984785.0,56.94,148.26,67.9,167.2,-6.0,11.0,31.0,-18.0,-14.0,2.0
2021-04-04,2021-04-04,30709125.0,34972.0,64680.0,63067.0,289.0,851.0,734.0,558189.0,1192515.0,949486.0,0.054,165053746.0,161688422.0,106214924.0,104213478.0,61416536.0,59858146.0,56.94,102.52,53.87,106.33,-28.0,-11.0,33.0,-21.0,-23.0,1.0
2021-04-05,2021-04-05,30786804.0,77679.0,63519.0,34972.0,513.0,818.0,289.0,915974.0,1184023.0,558189.0,0.054,167187795.0,165053746.0,107515428.0,106214924.0,62392065.0,61416536.0,56.94,131.23,65.0,128.82,-6.0,-1.0,26.0,-27.0,-34.0,8.0
2021-04-06,2021-04-06,30847348.0,60544.0,64697.0,77679.0,854.0,790.0,513.0,1501612.0,1173976.0,915974.0,0.054,168592075.0,167187795.0,108301234.0,107515428.0,63016976.0,62392065.0,56.94,132.61,66.69,131.9,-6.0,0.0,33.0,-27.0,-31.0,7.0
2021-04-07,2021-04-07,30922386.0,75038.0,64597.0,60544.0,2586.0,786.0,854.0,1591778.0,1172890.0,1501612.0,0.055,171476655.0,168592075.0,109995734.0,108301234.0,64422618.0,63016976.0,56.94,134.84,66.24,133.44,-4.0,0.0,27.0,-27.0,-31.0,7.0
2021-04-08,2021-04-08,31002264.0,79878.0,65739.0,75038.0,1012.0,1000.0,2586.0,1461755.0,1177954.0,1591778.0,0.054,174879716.0,171476655.0,112046611.0,109995734.0,66203123.0,64422618.0,56.94,139.16,67.75,138.62,-6.0,-1.0,26.0,-26.0,-30.0,8.0
2021-04-09,2021-04-09,31084962.0,82698.0,65858.0,79878.0,880.0,991.0,1012.0,1405832.0,1184406.0,1461755.0,0.056,178837781.0,174879716.0,114436039.0,112046611.0,68202458.0,66203123.0,56.94,160.21,73.62,165.43,-10.0,-5.0,16.0,-26.0,-30.0,7.0
2021-04-10,2021-04-10,31151497.0,66535.0,67697.0,82698.0,713.0,981.0,880.0,980541.0,1197804.0,1405832.0,0.056,183467709.0,178837781.0,117142879.0,114436039.0,70692645.0,68202458.0,56.94,158.3,73.27,182.18,-7.0,-2.0,32.0,-17.0,-12.0,2.0
2021-04-11,2021-04-11,31197877.0,46380.0,68192.0,66535.0,289.0,978.0,713.0,628931.0,1202240.0,980541.0,0.057,187047131.0,183467709.0,119242902.0,117142879.0,72630892.0,70692645.0,56.94,119.58,56.71,120.14,-6.0,-4.0,18.0,-19.0,-14.0,2.0
2021-04-12,2021-04-12,31268107.0,70230.0,69822.0,46380.0,471.0,978.0,289.0,1014771.0,1212346.0,628931.0,0.055,189692045.0,187047131.0,120848490.0,119242902.0,74066085.0,72630892.0,56.94,125.1,62.54,118.41,-9.0,-3.0,9.0,-29.0,-29.0,7.0
2021-04-13,2021-04-13,31345985.0,77878.0,68758.0,70230.0,827.0,972.0,471.0,1554932.0,1226460.0,1014771.0,0.057,192282781.0,189692045.0,122295530.0,120848490.0,75322283.0,74066085.0,56.94,127.24,64.58,121.99,-8.0,-1.0,20.0,-29.0,-29.0,7.0
2021-04-14,2021-04-14,31421360.0,75375.0,71234.0,77878.0,958.0,968.0,827.0,1605780.0,1234077.0,1554932.0,0.056,194791836.0,192282781.0,123917385.0,122295530.0,76681252.0,75322283.0,56.94,128.84,63.68,122.54,-7.0,-3.0,13.0,-29.0,-30.0,8.0
2021-04-15,2021-04-15,31495649.0,74289.0,71282.0,75375.0,893.0,736.0,958.0,1421291.0,1236077.0,1605780.0,0.056,198317040.0,194791836.0,125822868.0,123917385.0,78498290.0,76681252.0,56.94,134.06,63.71,127.0,-10.0,-3.0,9.0,-29.0,-29.0,8.0
2021-04-16,2021-04-16,31575640.0,79991.0,70484.0,74289.0,866.0,719.0,893.0,1391107.0,1230297.0,1421291.0,0.056,202282923.0,198317040.0,127743096.0,125822868.0,80609818.0,78498290.0,56.94,156.31,73.03,158.61,-11.0,-6.0,8.0,-27.0,-29.0,8.0
2021-04-17,2021-04-17,31628013.0,52373.0,70097.0,79991.0,681.0,717.0,866.0,970991.0,1228193.0,1391107.0,0.056,205871913.0,202282923.0,129494179.0,127743096.0,82471151.0,80609818.0,56.94,157.38,74.94,181.85,-8.0,-2.0,35.0,-17.0,-12.0,2.0
2021-04-18,2021-04-18,31670031.0,42018.0,68074.0,52373.0,318.0,712.0,681.0,580904.0,1226829.0,970991.0,0.056,209406814.0,205871913.0,131247546.0,129494179.0,84263408.0,82471151.0,56.94,121.85,62.26,127.75,-5.0,-2.0,38.0,-16.0,-13.0,2.0
2021-04-19,2021-04-19,31737964.0,67933.0,67451.0,42018.0,482.0,716.0,318.0,840238.0,1219968.0,580904.0,0.056,211581309.0,209406814.0,132321628.0,131247546.0,85365180.0,84263408.0,56.94,124.79,64.71,119.47,-10.0,-3.0,14.0,-28.0,-29.0,8.0
2021-04-20,2021-04-20,31799237.0,61273.0,67122.0,67933.0,825.0,718.0,482.0,1235816.0,1195035.0,840238.0,0.056,213388238.0,211581309.0,133266995.0,132321628.0,86223506.0,85365180.0,56.94,128.85,67.21,125.94,-8.0,-1.0,21.0,-28.0,-29.0,8.0
